source_type,rainfall_24h_mm,temperature_C,dissolved_oxygen_mgL,chlorine_mgL,month,fecal_coliform_MPN,season,pH,turbidity_NTU,persons_with_symptoms,hardness_mgL,nitrate_mgL,TDS_mgL,risk_percent
community_tank,4.944,23.729,7.905,0.537,12,43.773,Winter,2.156,15.414,14,92.87,9.974,323.54,87.427
piped_protected,19.92,18.391,7.81,0.125,12,44.95,Winter,7.416,3.085,4,67.17,10.241,259.24,24.447
reservoir,26.488,29.002,7.004,0.369,2,6.213,Winter,6.095,1.291,1,92.8,2.01,265.67,15.819
rooftop_rainwater,3.616,25.8,5.914,0.087,7,9.347,Monsoon,7.013,13.585,7,20.96,0.168,77.38,35.229
pond,19.946,25.836,6.959,0.959,11,17.335,Autumn,7.472,14.534,4,78.71,12.256,247.36,9.883
community_tank,15.211,24.304,6.289,0.751,11,22.405,Autumn,7.36,8.243,5,106.72,6.036,239.17,9.242
spring,26.709,27.433,7.395,0.621,6,36.023,Monsoon,8.307,9.845,5,83.0,1.597,127.5,14.055
canal,2.82,27.814,7.634,0.205,7,20.347,Monsoon,8.076,24.958,3,87.1,20.085,397.54,33.604
community_tank,8.603,28.114,4.044,0.334,3,19.501,Summer,7.776,5.787,42,79.75,26.96,358.61,66.975
reservoir,3.21,25.806,7.506,0.144,4,109.905,Summer,6.9,27.898,20,109.89,10.871,346.0,70.159
reservoir,17.378,20.872,11.388,0.536,11,122.844,Autumn,5.629,28.953,1,72.23,1.182,263.34,59.118
rooftop_rainwater,0.053,26.216,6.525,0.821,6,58.459,Monsoon,7.113,10.045,19,11.69,0.457,84.32,47.193
pond,8.32,25.802,8.483,0.019,3,15.746,Summer,7.528,0.236,1,111.6,6.155,234.92,17.474
piped_protected,4.143,23.354,8.113,0.103,12,48.585,Winter,5.664,35.787,18,59.59,3.174,89.72,83.864
rooftop_rainwater,3.896,22.594,4.537,0.229,1,114.455,Winter,8.115,2.11,3,8.94,1.44,22.09,25.524
rooftop_rainwater,10.354,26.629,7.747,0.714,6,25.176,Monsoon,8.768,10.487,7,21.34,1.176,10.0,22.968
canal,19.071,24.772,5.739,0.894,10,121.755,Autumn,6.581,15.616,4,70.57,1.078,116.2,29.226
deep_borehole,9.395,23.83,6.704,0.753,11,219.993,Autumn,7.065,1.399,9,229.41,7.377,429.01,42.492
pond,19.185,30.017,4.811,0.525,10,84.5,Autumn,7.338,19.422,6,80.68,1.646,124.64,25.625
shallow_well,3.073,27.015,7.663,0.105,2,59.311,Winter,7.628,13.292,1,149.8,5.081,352.31,19.267
rooftop_rainwater,7.329,26.304,6.488,0.755,7,45.234,Monsoon,6.126,15.646,14,18.66,0.651,10.0,52.291
deep_borehole,5.988,28.655,9.018,0.106,5,60.145,Summer,7.634,2.339,7,247.35,6.095,442.58,21.572
shallow_well,0.117,25.991,4.961,0.348,1,48.558,Winter,8.477,4.442,3,187.12,21.722,674.65,14.819
pond,8.138,22.888,8.363,0.308,9,9.708,Monsoon,6.639,5.045,10,72.84,2.811,190.0,23.664
open_catchment,10.833,23.831,7.632,0.359,2,120.296,Winter,8.501,2.282,3,34.76,8.185,99.29,26.528
spring,8.963,27.196,5.713,0.33,2,34.922,Winter,3.925,11.686,8,213.31,5.678,538.71,58.65
deep_borehole,13.329,26.875,4.682,0.769,10,363.184,Autumn,8.129,1.116,6,273.04,7.675,612.66,84.812
river,8.471,26.339,6.565,0.172,10,504.425,Autumn,9.147,4.151,8,81.93,7.057,192.73,100.0
open_catchment,0.691,21.587,7.355,0.846,4,25.05,Summer,8.25,20.051,9,48.36,13.812,304.79,33.621
reservoir,1.238,27.44,5.402,0.858,2,39.286,Winter,8.377,3.789,1,66.99,4.882,239.26,12.241
reservoir,9.075,24.805,5.576,0.491,10,21.002,Autumn,9.523,3.028,11,107.53,3.036,395.85,36.346
spring,3.216,26.8,8.486,0.106,6,12.606,Monsoon,8.164,2.137,4,186.97,2.839,472.53,21.514
canal,0.83,22.51,5.828,0.575,5,30.316,Summer,5.786,13.439,5,66.04,4.061,246.11,36.018
community_tank,5.614,30.898,7.87,0.821,10,33.141,Autumn,6.999,8.473,15,215.52,1.634,378.57,23.903
piped_protected,8.082,25.742,8.828,0.289,10,8.993,Autumn,8.122,3.477,3,92.04,3.729,319.86,8.232
river,3.986,23.747,5.794,0.838,3,10.744,Summer,3.322,3.192,5,81.45,12.082,147.93,55.225
canal,12.745,26.939,5.126,0.677,2,2.007,Winter,7.355,62.905,1,36.93,9.167,11.64,66.776
pond,10.322,27.574,8.308,0.987,6,10.238,Monsoon,8.309,0.967,34,59.54,1.828,291.25,57.737
canal,4.047,26.902,6.552,0.825,2,74.198,Winter,7.511,19.057,3,36.59,10.272,133.59,18.845
community_tank,14.06,22.016,6.342,0.202,11,134.616,Autumn,7.575,34.523,21,136.75,6.79,281.41,72.354
pond,10.461,28.428,9.143,0.449,4,4.802,Summer,9.02,8.252,10,62.13,6.169,75.85,33.373
river,10.146,23.965,6.598,0.104,5,8.686,Summer,6.368,9.199,6,41.73,14.497,148.0,46.477
community_tank,8.062,24.952,7.416,0.07,11,108.501,Autumn,8.539,26.844,9,94.32,6.06,257.69,60.401
shallow_well,0.115,18.374,4.583,0.706,8,13.887,Monsoon,6.863,0.204,9,155.3,8.605,391.99,19.5
piped_protected,11.924,23.608,6.885,0.913,12,20.374,Winter,7.597,2.946,10,71.62,92.89,633.4,34.31
river,4.717,23.589,5.678,0.974,1,16.326,Winter,6.548,17.516,5,84.18,10.685,245.83,22.694
shallow_well,28.579,26.352,6.24,0.27,7,79.689,Monsoon,8.416,10.109,22,214.07,54.913,847.78,67.04
spring,17.037,23.425,6.151,0.202,6,169.405,Monsoon,6.48,47.845,16,190.16,2.675,334.01,100.0
river,8.86,20.135,8.952,0.56,3,34.51,Summer,7.571,3.328,39,70.99,13.489,418.82,64.554
spring,2.906,25.732,6.005,0.201,10,20.823,Autumn,7.429,30.481,18,167.38,0.822,285.33,47.088
pond,2.278,24.249,6.198,0.296,10,25.796,Autumn,8.277,120.0,5,57.04,6.527,307.45,100.0
